Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
body,-0.327591961236595,-2.77555756156289E-15,-6.52256026967279E-16,0,0,0,0.386886237278669,0.00056524798850821,-2.87028093480915E-17,1.79183710661826E-19,0.00352960084181879,-1.0009786555622E-18,0.00371490995063121,0,0,0,0,0,0,package://generated/meshes/body.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://generated/meshes/body.STL,,frame-1,global_cs,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
fl_hip,-0.0295,-0.08586,2.5485E-06,0,0,0,0.27935,0.00087054,-1.537E-05,-2.7068E-10,9.5117E-05,-1.4582E-08,0.0007904,0,0,0,0,0,0,package://generated/meshes/fl_hip.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://generated/meshes/fl_hip.STL,,hip-3,fl_hip_roll_cs,fl_hip_roll_axis,fl_hip_roll,revolute,-0.214,0.11772,0,0,0,0,body,1,0,0,10,0,-12.56,12.56,,,,,,,,
fl_thigh,-0.0807917582105341,-0.0214825869316967,-2.67611392767292E-06,0,0,0,0.264520041869827,9.19807038085864E-05,-1.54405339057899E-05,1.49185254399162E-08,0.000993355830663773,3.3624869487987E-10,0.000915348138029977,0,0,0,0,0,0,package://generated/meshes/fl_thigh.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://generated/meshes/fl_thigh.STL,,thigh-4,fl_hip_pitch_cs,fl_hip_pitch_axis,fl_hip_pitch,revolute,0.19225,0.023,0,0,0,0,fl_hip,0,1,0,10,0,-12.56,12.56,,,,,,,,
fl_calf,-2.4044574510329E-06,-0.0421981575500291,0.0998276408026222,0,0,0,0.294966554618317,0.00128201387813252,2.81731621022754E-10,-1.48498337243071E-08,0.0013587539589683,7.97857597065637E-05,0.000116487327092657,0,0,0,0,0,0,package://generated/meshes/fl_calf.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://generated/meshes/fl_calf.STL,,calf-3,fl_knee_pitch_cs,fl_knee_pitch_axis,fl_knee_pitch,revolute,0,0.081,-0.19625,0,0,0,fl_thigh,0,1,0,10,0,-12.56,12.56,,,,,,,,
fl_foot,0.0108158782825176,-0.000509723134333895,0.0898655205495305,0,0,0,0.090621312144061,0.000317091067758813,-2.42524178870098E-08,1.93754623305893E-06,0.00032161261047262,4.35569787602268E-06,1.09541892211182E-05,0,0,0,0,0,0,package://generated/meshes/fl_foot.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://generated/meshes/fl_foot.STL,,left_foot-2,fl_foot_cs,,fl_foot_fixed,fixed,-0.012298,-0.005,-0.20995,0,0,0,fl_calf,0,0,0,,,,,,,,,,,,
fr_hip,-0.0800152960939578,0.0749722526444457,2.06448827713701E-06,0,0,0,0.319915416042371,0.000875895131384505,-1.53703268595585E-05,-5.46118885621425E-10,0.000108862948087199,1.47358210998255E-08,0.000804148897094268,0,0,0,0,0,0,package://generated/meshes/fr_hip.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://generated/meshes/fr_hip.STL,,hip_extended-1,fr_hip_roll_cs,fr_hip_roll_axis,fr_hip_roll,revolute,-0.214,-0.11773,0,0,0,0,body,-1,0,0,10,0,-12.56,12.56,,,,,,,,
fr_thigh,-0.080791758210535,0.0214825869316937,2.67611392780476E-06,0,0,0,0.264520041869827,9.19807038085846E-05,1.54405339057534E-05,-1.49185254403198E-08,0.000993355830663775,3.36248695704315E-10,0.000915348138029977,0,0,0,0,0,0,package://generated/meshes/fr_thigh.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://generated/meshes/fr_thigh.STL,,thigh-1,fr_hip_pitch_cs,fr_hip_pitch_axis,fr_hip_pitch,revolute,0.19225,-0.023,0,0,0,0,fr_hip,0,-1,0,10,0,-12.56,12.56,,,,,,,,
fr_calf,2.40445745131046E-06,0.0421981575500279,0.0998276408026227,0,0,0,0.294966554618317,0.00128201387813252,2.81731621579103E-10,1.48498337247973E-08,0.00135875395896831,-7.97857597065483E-05,0.000116487327092655,0,0,0,0,0,0,package://generated/meshes/fr_calf.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://generated/meshes/fr_calf.STL,,calf-2,fr_knee_pitch_cs,fr_knee_pitch_axis,fr_knee_pitch,revolute,0,-0.081,-0.19625,0,0,0,fr_thigh,0,-1,0,10,0,-12.56,12.56,,,,,,,,
fr_foot,0.0108158782825181,0.000509723134333007,0.0898655205495304,0,0,0,0.090621312144061,0.000317091067758814,2.42524178867833E-08,1.9375462330574E-06,0.00032161261047262,-4.35569787601875E-06,1.09541892211181E-05,0,0,0,0,0,0,package://generated/meshes/fr_foot.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://generated/meshes/fr_foot.STL,,right_foot-1,fr_foot_cs,Axis_fr_foot_fixed,fr_foot_fixed,fixed,-0.012298364495528,0.00500000000000234,-0.20994939480802,0,0,0,fr_calf,0,0,0,,,,,,,,,,,,
bl_hip,0.0800152960939554,-0.0749722526444463,2.06448827704681E-06,0,0,0,0.319915416042371,0.000875895131384503,-1.53703268595648E-05,5.46118885579799E-10,0.000108862948087199,-1.47358211003847E-08,0.000804148897094266,0,0,0,0,0,0,package://generated/meshes/bl_hip.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://generated/meshes/bl_hip.STL,,hip_extended-3,bl_hip_roll_cs,bl_hip_roll_axis,bl_hip_roll,revolute,-0.441,0.11772,0,0,0,0,body,1,0,0,10,0,-12.56,12.56,,,,,,,,
bl_thigh,0.0807917582105347,-0.0214825869316948,2.67611392763129E-06,0,0,0,0.264520041869827,9.19807038085852E-05,1.54405339057681E-05,1.49185254402656E-08,0.000993355830663774,-3.36248694842261E-10,0.000915348138029976,0,0,0,0,0,0,package://generated/meshes/bl_thigh.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://generated/meshes/bl_thigh.STL,,thigh-5,bl_hip_pitch_cs,bl_hip_pitch_axis,bl_hip_pitch,revolute,-0.19225,0.023,0,0,0,0,bl_hip,0,1,0,10,0,-12.56,12.56,,,,,,,,
bl_calf,-2.4044574520321E-06,-0.0421981575500288,0.0998276408026223,0,0,0,0.294966554618317,0.00128201387813252,2.81731622822637E-10,-1.4849833723048E-08,0.0013587539589683,7.97857597065613E-05,0.000116487327092656,0,0,0,0,0,0,package://generated/meshes/bl_calf.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://generated/meshes/bl_calf.STL,,calf-4,bl_knee_pitch_cs,bl_knee_pitch_axis,bl_knee_pitch,revolute,0,0.081,-0.19625,0,0,0,bl_thigh,0,1,0,10,0,-12.56,12.56,,,,,,,,
bl_foot,0.0108158782825177,-0.000509723134333895,0.0898655205495304,0,0,0,0.0906213121440609,0.000317091067758813,-2.42524178869014E-08,1.93754623305881E-06,0.00032161261047262,4.35569787602211E-06,1.09541892211183E-05,0,0,0,0,0,0,package://generated/meshes/bl_foot.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://generated/meshes/bl_foot.STL,,left_foot-1,bl_foot_cs,Axis_bl_foot_fixed,bl_foot_fixed,fixed,-0.0122983644955269,-0.00500000000000014,-0.20994939480802,0,0,0,bl_calf,0,0,0,,,,,,,,,,,,
br_hip,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,package://generated/meshes/br_hip.STL,1,1,1,1,0,0,0,0,0,0,package://generated/meshes/br_hip.STL,,hip-1,br_hip_roll_cs,br_hip_roll_axis,br_hip_roll,revolute,-0.441,-0.11773,0,0,0,0,body,-1,0,0,10,0,-12.56,12.56,,,,,,,,
