Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.77344,1.0066,1.504,0,0,0,0.38689,0.00056525,-2.0117E-21,-8.788E-20,0.0036917,6.135E-05,0.0035528,0,0,0,0,0,0,package://urdf_quadruped.SLDASM/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://urdf_quadruped.SLDASM/meshes/base_link.STL,,frame-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
fl_hip,0.69941,0.72813,1.6654,0,0,0,0.27935,0.00083961,3.2296E-05,0.00013469,0.00079235,-5.2745E-05,0.0001241,0,0,0,0,0,0,package://urdf_quadruped.SLDASM/meshes/fl_hip.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://urdf_quadruped.SLDASM/meshes/fl_hip.STL,,hip-1,Origin_fl_hip_roll,,fl_hip_roll,revolute,-0.29473,-3.0199,0.7419,-1.0753,-0.18293,-0.29106,base_link,0,0,0,0,0,-6.28,6.28,,,,,,,,
fl_thigh,0.13117,0.040419,0.02516,0,0,0,0.26452,0.00019226,-0.00022371,-0.00015883,0.0008463,-4.5485E-05,0.00096213,0,0,0,0,0,0,package://urdf_quadruped.SLDASM/meshes/fl_thigh.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://urdf_quadruped.SLDASM/meshes/fl_thigh.STL,,thigh-1,Origin_fl_hip_pitch,Axis_fl_hip_pitch,fl_hip_pitch,revolute,0.68362,0.73513,1.7496,-0.081409,-0.025664,-0.013653,fl_hip,0.94196,0.28974,0.16961,0,0,-6.28,6.28,,,,,,,,
fl_calf,0.096422,0.030175,-2.4048E-06,0,0,0,0.29497,0.00011649,-7.9786E-05,1.4853E-08,0.0013588,2.8168E-10,0.001282,0,0,0,0,0,0,package://urdf_quadruped.SLDASM/meshes/fl_calf.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://urdf_quadruped.SLDASM/meshes/fl_calf.STL,,knee-1,Origin_fl_knee_pitch,Axis_fl_knee_pitch,fl_knee_pitch,revolute,0.20201,0.063576,0.068509,1.4743,0.14719,2.6054,fl_thigh,0,1,0,0,0,-6.28,6.28,,,,,,,,
fl_foot,0.01143,-0.1053,0.057741,0,0,0,0.090621,0.00032161,3.7811E-06,-2.1624E-06,8.6595E-05,0.00013206,0.00024145,0,0,0,0,0,0,package://urdf_quadruped.SLDASM/meshes/fl_foot.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://urdf_quadruped.SLDASM/meshes/fl_foot.STL,,left_foot-1,Origin_fl_foot_fixed,Axis_fl_foot_fixed,fl_foot_fixed,revolute,0.19625,0.055433,0,-1.1382,0,1.5708,fl_calf,1,0,0,0,0,-6.28,6.28,,,,,,,,
fr_hip,0.69864,0.7294,1.6763,0,0,0,0.31992,0.00083435,3.0457E-05,0.0001606,0.00080675,-4.4083E-05,0.0001478,0,0,0,0,0,0,package://urdf_quadruped.SLDASM/meshes/fr_hip.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://urdf_quadruped.SLDASM/meshes/fr_hip.STL,,hip_extended-3,Origin_fr_hip_roll,,fr_hip_roll,revolute,-0.34673,0.01189,1.2712,2.0663,0.18293,0.29106,base_link,0,0,0,0,0,-6.28,6.28,,,,,,,,
fr_thigh,0.13117,0.040419,0.02516,0,0,0,0.26452,0.00019226,-0.00022371,-0.00015883,0.0008463,-4.5485E-05,0.00096213,0,0,0,0,0,0,package://urdf_quadruped.SLDASM/meshes/fr_thigh.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://urdf_quadruped.SLDASM/meshes/fr_thigh.STL,,thigh-4,Origin_fr_hip_pitch,Axis_fr_hip_pitch,fr_hip_pitch,revolute,0.7326,0.7502,1.7584,0.12756,0.037523,0.02531,fr_hip,0.94196,0.28974,0.16961,0,0,-6.28,6.28,,,,,,,,
fr_calf,0.096422,0.061802,-2.4041E-06,0,0,0,0.29497,0.00011649,-7.9786E-05,1.4846E-08,0.0013588,2.8187E-10,0.001282,0,0,0,0,0,0,package://urdf_quadruped.SLDASM/meshes/fr_calf.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://urdf_quadruped.SLDASM/meshes/fr_calf.STL,,knee-4,Origin_fr_knee_pitch,Axis_fr_knee_pitch,fr_knee_pitch,revolute,0.20754,0.063838,0.037369,1.7339,0.065939,-1.9042,fr_thigh,0,1,0,0,0,-6.28,6.28,,,,,,,,
fr_foot,-0.0057125,-0.1053,0.057741,0,0,0,0.090621,0.00032161,-3.7811E-06,2.1624E-06,8.6595E-05,0.00013206,0.00024145,0,0,0,0,0,0,package://urdf_quadruped.SLDASM/meshes/fr_foot.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://urdf_quadruped.SLDASM/meshes/fr_foot.STL,,right_foot-2,Origin_fr_foot_fixed,Axis_fr_foot_fixed,fr_foot_fixed,revolute,0.19625,0.092778,0,2.1866,0,-1.5708,fr_calf,1,0,0,0,0,-6.28,6.28,,,,,,,,
bl_hip,0.69864,0.7294,1.6763,0,0,0,0.31992,0.00083435,3.0457E-05,0.0001606,0.00080675,-4.4083E-05,0.0001478,0,0,0,0,0,0,package://urdf_quadruped.SLDASM/meshes/bl_hip.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://urdf_quadruped.SLDASM/meshes/bl_hip.STL,,hip_extended-1,Origin_bl_hip_roll,,bl_hip_roll,revolute,1.8938,-2.8152,0.20117,1.3317,0.32907,-3.0453,base_link,0,0,0,0,0,-6.28,6.28,,,,,,,,
bl_thigh,0.81479,0.77555,1.7747,0,0,0,0.26452,0.00019226,-0.00022371,-0.00015883,0.0008463,-4.5485E-05,0.00096213,0,0,0,0,0,0,package://urdf_quadruped.SLDASM/meshes/bl_thigh.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://urdf_quadruped.SLDASM/meshes/bl_thigh.STL,,thigh-2,Origin_bl_hip_pitch,,bl_hip_pitch,revolute,0.071197,-0.076164,0.041294,-0.056486,-0.017679,-0.0096895,bl_hip,0,0,0,0,0,-6.28,6.28,,,,,,,,
bl_calf,0.71746,0.91194,1.3308,0,0,0,0.29497,0.00011649,-7.9786E-05,1.4854E-08,0.0013588,2.8151E-10,0.001282,0,0,0,0,0,0,package://urdf_quadruped.SLDASM/meshes/bl_calf.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://urdf_quadruped.SLDASM/meshes/bl_calf.STL,,knee-2,Origin_bl_knee_pitch,,bl_knee_pitch,revolute,1.8765,2.0025,1.1085,1.728,-0.079145,-1.0607,bl_thigh,0,0,0,0,0,-6.28,6.28,,,,,,,,
bl_foot,0.70571,0.90004,1.3491,0,0,0,0.090621,0.00032161,3.7811E-06,-2.1624E-06,8.6595E-05,0.00013206,0.00024145,0,0,0,0,0,0,package://urdf_quadruped.SLDASM/meshes/bl_foot.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://urdf_quadruped.SLDASM/meshes/bl_foot.STL,,left_foot-3,Origin_bl_foot_fixed,,bl_foot_fixed,revolute,2.3154,0.24292,0.67206,-0.49499,0,1.5708,bl_calf,0,0,0,0,0,-6.28,6.28,,,,,,,,
br_hip,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,package://urdf_quadruped.SLDASM/meshes/br_hip.STL,1,1,1,1,0,0,0,0,0,0,package://urdf_quadruped.SLDASM/meshes/br_hip.STL,,hip-2,Origin_br_hip_roll,,br_hip_roll,revolute,1.8418,-0.19277,1.812,-1.8099,-0.32907,3.0453,base_link,0,0,0,0,0,-6.28,6.28,,,,,,,,
