Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
body,-0.24274123221814,-3.27515792264421E-15,-0.00153068608719894,0,0,0,0.688615038914901,0.00106144141610142,-1.88187617217396E-17,2.63434309472515E-05,0.00245930184939966,3.83724461847574E-19,0.00279308036475194,0,0,0,0,0,0,package://quad/meshes/body.STL,1,1,1,1,0,0,0,0,0,0,package://quad/meshes/body.STL,,body_frame-2,global_cs,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
fl_thigh,0.139292819513475,0.00235319440952359,-3.05778189503558E-06,0,0,0,0.32829098650712,0.000112047683322158,-1.62097882949948E-05,2.09839269866408E-08,0.000847860163744952,5.16343563254097E-10,0.000753244083618434,0,0,0,0,0,0,package://quad/meshes/fl_thigh.STL,1,1,1,1,0,0,0,0,0,0,package://quad/meshes/fl_thigh.STL,,thigh-6,fl_hip_roll_cs,fl_hip_roll_axis,fl_hip_roll,revolute,-0.221,0.11772,-0.00011829,0,0,0,body,-1,0,0,10,250,-12.56,12.56,,,,,,,,
fl_calf,-2.72389110977933E-06,0.0780352358767984,-0.0778540126521884,0,0,0,0.369733221029888,0.00111379811136972,4.53236441951089E-10,-2.08684607907161E-08,0.00120693430900378,8.6593836759732E-05,0.00014562742132654,0,0,0,0,0,0,package://quad/meshes/fl_calf.STL,1,1,1,1,0,0,0,0,0,0,package://quad/meshes/fl_calf.STL,,calf-5,fl_hip_pitch_cs,fl_hip_pitch_axis,fl_hip_pitch,revolute,0.19925,-0.016,0,0,0,0,fl_thigh,0,1,0,10,250,-12.56,12.56,,,,,,,,
fl_foot,-0.00181810973272578,0.0514205807877518,-0.0990956880947122,0,0,0,0.113203575524731,0.000259844925102448,-2.894491894864E-08,2.28109802667935E-06,0.000265395195240856,4.93150132283859E-06,1.44096258097617E-05,0,0,0,0,0,0,package://quad/meshes/fl_foot.STL,1,1,1,1,0,0,0,0,0,0,package://quad/meshes/fl_foot.STL,,left_foot-3,fl_knee_pitch_cs,fl_knee_pitch_axis,fl_knee_pitch,revolute,0,0.063,-0.15625,0,0,0,fl_calf,0,1,0,10,250,-12.56,12.56,,,,,,,,
fr_thigh,0.191292819513473,-0.00235319440951787,3.05778189584743E-06,0,0,0,0.32829098650712,0.000112047683322157,1.6209788294974E-05,-2.09839269871765E-08,0.000847860163744955,5.16343563230795E-10,0.000753244083618436,0,0,0,0,0,0,package://quad/meshes/fr_thigh.STL,1,1,1,1,0,0,0,0,0,0,package://quad/meshes/fr_thigh.STL,,thigh-7,fr_hip_roll_cs,fr_hip_roll_axis,fr_hip_roll,revolute,-0.273,-0.11773,-0.00011829,0,0,0,body,1,0,0,10,250,-12.56,12.56,,,,,,,,
fr_calf,2.72389111038995E-06,-0.0780352358767985,-0.0778540126521883,0,0,0,0.369733221029888,0.00111379811136972,4.53236441259584E-10,2.08684607912915E-08,0.00120693430900378,-8.6593836759733E-05,0.00014562742132654,0,0,0,0,0,0,package://quad/meshes/fr_calf.STL,1,1,1,1,0,0,0,0,0,0,package://quad/meshes/fr_calf.STL,,calf-6,fr_hip_pitch_cs,fr_hip_pitch_axis,fr_hip_pitch,revolute,0.25125,0.016,0,0,0,0,fr_thigh,0,-1,0,10,250,-12.56,12.56,,,,,,,,
fr_foot,-0.00181810973272423,-0.0514205807877519,-0.0990956880947123,0,0,0,0.113203575524731,0.000259844925102448,2.8944918948472E-08,2.28109802667948E-06,0.000265395195240856,-4.93150132283881E-06,1.44096258097618E-05,0,0,0,0,0,0,package://quad/meshes/fr_foot.STL,1,1,1,1,0,0,0,0,0,0,package://quad/meshes/fr_foot.STL,,right_foot-4,fr_knee_pitch_cs,fr_knee_pitch_axis,fr_knee_pitch,revolute,0,-0.063,-0.15625,0,0,0,fr_calf,0,-1,0,10,250,-12.56,12.56,,,,,,,,
bl_thigh,-0.191292819513468,0.00235319440952116,3.05778189578498E-06,0,0,0,0.32829098650712,0.000112047683322158,1.62097882949869E-05,2.09839269867002E-08,0.000847860163744955,-5.16343563282282E-10,0.000753244083618436,0,0,0,0,0,0,package://quad/meshes/bl_thigh.STL,1,1,1,1,0,0,0,0,0,0,package://quad/meshes/bl_thigh.STL,,thigh-8,bl_hip_roll_cs,bl_hip_roll_axis,bl_hip_roll,revolute,-0.295,0.11772,-0.00011829,0,0,0,body,-1,0,0,10,250,-12.56,12.56,,,,,,,,
bl_calf,-2.72389110872462E-06,0.0780352358767985,-0.0778540126521883,0,0,0,0.369733221029887,0.00111379811136972,4.53236442868701E-10,-2.08684607895255E-08,0.00120693430900378,8.65938367597322E-05,0.00014562742132654,0,0,0,0,0,0,package://quad/meshes/bl_calf.STL,1,1,1,1,0,0,0,0,0,0,package://quad/meshes/bl_calf.STL,,calf-7,bl_hip_pitch_cs,bl_hip_pitch_axis,bl_hip_pitch,revolute,-0.25125,-0.016,0,0,0,0,bl_thigh,0,1,0,10,250,-12.56,12.56,,,,,,,,
bl_foot,0.00181810973272573,0.0514205807877518,-0.0990956880947122,0,0,0,0.113203575524731,0.000259844925102449,2.89449189485479E-08,-2.28109802667791E-06,0.000265395195240856,4.93150132283863E-06,1.44096258097618E-05,0,0,0,0,0,0,package://quad/meshes/bl_foot.STL,1,1,1,1,0,0,0,0,0,0,package://quad/meshes/bl_foot.STL,,right_foot-3,bl_knee_pitch_cs,bl_knee_pitch_axis,bl_knee_pitch,revolute,0,0.063,-0.15625,0,0,0,bl_calf,0,1,0,10,250,-12.56,12.56,,,,,,,,
br_thigh,-0.139292819513466,-0.00235319440952225,-3.05778189514661E-06,0,0,0,0.32829098650712,0.000112047683322158,-1.62097882949918E-05,-2.09839269872017E-08,0.000847860163744955,-5.16343563311297E-10,0.000753244083618437,0,0,0,0,0,0,package://quad/meshes/br_thigh.STL,1,1,1,1,0,0,0,0,0,0,package://quad/meshes/br_thigh.STL,,thigh-9,br_hip_roll_cs,br_hip_roll_axis,br_hip_roll,revolute,-0.347,-0.11773,-0.00011829,0,0,0,body,1,0,0,10,250,-12.56,12.56,,,,,,,,
br_calf,2.72389110933524E-06,-0.0780352358767985,-0.0778540126521882,0,0,0,0.369733221029887,0.00111379811136972,4.5323644226411E-10,2.08684607901771E-08,0.00120693430900378,-8.65938367597331E-05,0.00014562742132654,0,0,0,0,0,0,package://quad/meshes/br_calf.STL,1,1,1,1,0,0,0,0,0,0,package://quad/meshes/br_calf.STL,,calf-8,br_hip_pitch_cs,br_hip_pitch_axis,br_hip_pitch,revolute,-0.19925,0.016,0,0,0,0,br_thigh,0,-1,0,10,250,-12.56,12.56,,,,,,,,
br_foot,0.00181810973272534,-0.051420580787752,-0.0990956880947121,0,0,0,0.113203575524731,0.000259844925102448,-2.89449189486287E-08,-2.28109802667956E-06,0.000265395195240856,-4.93150132283883E-06,1.44096258097618E-05,0,0,0,0,0,0,package://quad/meshes/br_foot.STL,1,1,1,1,0,0,0,0,0,0,package://quad/meshes/br_foot.STL,,left_foot-4,br_knee_pitch_cs,br_knee_pitch_axis,br_knee_pitch,revolute,0,-0.063,-0.15625,0,0,0,br_calf,0,-1,0,10,250,-12.56,12.56,,,,,,,,
